Symbol	Description
ILSPLN	New Israeli Sheqel / Polish Zloty
ILSSEK	New Israeli Sheqel / Swedish Krona
ILSUSD	New Israeli Sheqel / US Dollar
INRAUD	Indian Rupee / Australian Dollar
INRCAD	Indian Rupee / Canadian Dollar
INRCHF	Indian Rupee / Swiss Franc
INRCNY	Indian Rupee / Yuan Renminbi
INREUR	Indian Rupee / Euro Dollar
INRGBP	Indian Rupee / Pound Sterling
INRHKD	Indian Rupee / Hong Kong Dollar
INRJPY	Indian Rupee / Japanese Yen
INRKRW	Indian Rupee / Korean Won
INRMYR	Indian Rupee / Malaysian Ringgit
INRNZD	Indian Rupee / New Zealand Dollar
INRPKR	Indian Rupee / Pakistan Rupee
INRSEK	Indian Rupee / Swedish Krona
INRTHB	Indian Rupee / Thai Baht
INRTWD	Indian Rupee / New Taiwan Dollar
INRUSD	Indian Rupee / US Dollar
INRZAR	Indian Rupee / South African Rand
IQDGBP	Iraqi Dinar / Pound Sterling
ISKCHF	Iceland Krona / Swiss Franc
ISKDKK	Iceland Krona / Danish Krone
ISKGBP	Iceland Krona / Pound Sterling
JMDGBP	Jamaican Dollar / Pound Sterling
JODAED	Jordanian Dinar / UAE Dirham
JODEUR	Jordanian Dinar / Euro Dollar
JODILS	Jordanian Dinar / New Israeli Sheqel
JODUSD	Jordanian Dinar / US Dollar
JPYAED	Japanese Yen / UAE Dirham
JPYARS	Japanese Yen / Argentine Peso
JPYAUD	Japanese Yen / Australian Dollar
JPYBRL	Japanese Yen / Brazilian Real
JPYCAD	Japanese Yen / Canadian Dollar
JPYCHF	Japanese Yen / Swiss Franc
JPYCLP	Japanese Yen / Chilean Peso
JPYCNY	Japanese Yen / Yuan Renminbi
JPYCZK	Japanese Yen / Czech Koruna
JPYDKK	Japanese Yen / Danish Krone
JPYEUR	Japanese Yen / Euro Dollar
JPYGBP	Japanese Yen / Pound Sterling
JPYHKD	Japanese Yen / Hong Kong Dollar
JPYIDR	Japanese Yen / Indian Rupiah
JPYILS	Japanese Yen / New Israeli Sheqel
JPYINR	Japanese Yen / Indian Rupee
JPYKRW	Japanese Yen / Korean Won
JPYMXN	Japanese Yen / Mexican Peso
JPYMYR	Japanese Yen / Malaysian Ringgit
JPYNOK	Japanese Yen / Norwegian Krone
JPYNZD	Japanese Yen / New Zealand Dollar
JPYPKR	Japanese Yen / Pakistan Rupee
JPYPLN	Japanese Yen / Polish Zloty
JPYRUB	Japanese Yen / Russian Ruble
JPYSEK	Japanese Yen / Swedish Krona
JPYTHB	Japanese Yen / Thai Baht
JPYTWD	Japanese Yen / New Taiwan Dollar
JPYUSD	Japanese Yen / US Dollar
JPYZAR	Japanese Yen / South African Rand
KESEUR	Kenyan Shilling / Euro Dollar
KESUSD	Kenyan Shilling / US Dollar
KESZAR	Kenyan Shilling / South African Rand
KMFUSD	Comoro Franc / US Dollar
KRWAUD	Korean Won / Australian Dollar
KRWBRL	Korean Won / Brazilian Real
KRWCAD	Korean Won / Canadian Dollar
KRWCHF	Korean Won / Swiss Franc
KRWCNY	Korean Won / Yuan Renminbi
KRWEUR	Korean Won / Euro Dollar
KRWHKD	Korean Won / Hong Kong Dollar
KRWIDR	Korean Won / Indian Rupiah
KRWINR	Korean Won / Indian Rupee
KRWJPY	Korean Won / Japanese Yen
KRWMYR	Korean Won / Malaysian Ringgit
KRWNZD	Korean Won / New Zealand Dollar
KRWRUB	Korean Won / Russian Ruble
KRWSEK	Korean Won / Swedish Krona
KRWSGD	Korean Won / Singapore Dollar
KRWTHB	Korean Won / Thai Baht
KRWTWD	Korean Won / New Taiwan Dollar
KRWUSD	Korean Won / US Dollar
KRWZAR	Korean Won / South African Rand
KWDAED	Kuwaiti Dinar / UAE Dirham
KWDGBP	Kuwaiti Dinar / Pound Sterling
KWDPKR	Kuwaiti Dinar / Pakistan Rupee
KWDUSD	Kuwaiti Dinar / US Dollar
KZTGBP	Tenge / Pound Sterling
LBPUSD	Lebanese Pound / US Dollar
LKRUSD	Sri Lanka Rupee / US Dollar
LRDUSD	Liberian Dollar / US Dollar
MADGBP	Moroccan Dirham / Pound Sterling
MADUSD	Moroccan Dirham / US Dollar
MDLEUR	Moldovan Leu / Euro Dollar
MDLUSD	Moldovan Leu / US Dollar
MKDUSD	Denar / US Dollar
MUREUR	Mauritius Rupee / Euro Dollar
MURGBP	Mauritius Rupee / Pound Sterling
MURUSD	Mauritius Rupee / US Dollar
MURZAR	Mauritius Rupee / South African Rand
MVRUSD	Rufiyaa / US Dollar
MWKGBP	Kwacha / Pound Sterling
MXNARS	Mexican Peso / Argentine Peso
MXNAUD	Mexican Peso / Australian Dollar
MXNBRL	Mexican Peso / Brazilian Real
MXNCAD	Mexican Peso / Canadian Dollar
MXNCHF	Mexican Peso / Swiss Franc
MXNCZK	Mexican Peso / Czech Koruna
MXNDKK	Mexican Peso / Danish Krone
MXNEUR	Mexican Peso / Euro Dollar
MXNGBP	Mexican Peso / Pound Sterling
MXNHKD	Mexican Peso / Hong Kong Dollar
MXNJPY	Mexican Peso / Japanese Yen
